description,amount,category,type,date
Winter clothes bought from H&M - noted,45322,Shopping,expense,2023-09-20
Shopping at Van Heusen (cash) today,47567,Shopping,expense,2023-09-28
gym membership fee,19073,Others,expense,2023-11-29
Shared flat rent contribution done,47745,Rent,expense,2026-03-16
Amusement park tickets completed,2001,Entertainment,expense,2025-12-19
bought electronics from croma,7589,Shopping,expense,2025-12-10
rent transferred to society office via UPI,43859,Rent,expense,2024-05-03
Salary credited by HR department today,155072,Salary,income,2024-04-11
metro card recharge (cash),1584,Travel,expense,2025-05-07
Rent paid for 1BHK flat completed,17823,Rent,expense,2024-02-26
rent paid for may,32207,Rent,expense,2023-12-11
BEHROUZ BIRYANI FOOD DELIVERY,1009,Food,expense,2025-07-12
wow Momo order for family,200,Food,expense,2023-04-05
STANDUP COMEDY SHOW TICKETS urgent,3941,Entertainment,expense,2024-10-19
Salary credited for November 2023 completed,27576,Salary,income,2023-01-12
Salary received from employer again,114203,Salary,income,2024-04-11
Flight ticket booking to Ahmedabad urgent,11043,Travel,expense,2024-02-13
Ordered pasta from Barista done,1513,Food,expense,2023-10-27
Company payroll deposit today,180631,Salary,income,2025-02-28
Weekend movie outing at INOX - paid online again,2725,Entertainment,expense,2023-07-11
NGO donation made confirmed,36621,Others,expense,2023-07-21
Auto rickshaw fare to mall this month,11269,Travel,expense,2024-10-16
dividend received from mutual funds for family,5418,Others,income,2025-09-05
water purifier service charge,37857,Others,expense,2025-08-26
Barista dinner order done,1310,Food,expense,2026-08-16
Rent paid for October urgent,6884,Rent,expense,2023-08-31
Salary credited for August 2025 urgent,116565,Salary,income,2024-10-02
new outfit purchased from h&m,41375,Shopping,expense,2023-03-14
Water park tickets purchased - paid online,4479,Entertainment,expense,2025-12-06
Spotify premium payment confirmed,8567,Entertainment,expense,2024-07-21
Salon and grooming expense,38246,Others,expense,2024-12-05
Train ticket booked to Delhi via IRCTC today,18938,Travel,expense,2024-10-30
salary credited for may 2023 this month,38888,Salary,income,2024-05-07
Family movie night at Cinepolis done,6502,Entertainment,expense,2024-02-26
Quick snack from Box8 via PhonePe,1947,Food,expense,2026-06-22
new outfit purchased from allen solly confirmed,16899,Shopping,expense,2023-07-22
Board game cafe outing via GPay,1101,Entertainment,expense,2025-10-21
Pizza Hut dinner order,336,Food,expense,2026-02-18
Family dinner at rooftop cafe via PhonePe,2293,Food,expense,2024-12-05
House rent for February,22124,Rent,expense,2026-01-02
Family dinner at highway dhaba today,2532,Food,expense,2023-04-09
House rent for June,24533,Rent,expense,2026-08-19
ferry ticket booking today,19516,Travel,expense,2023-03-11
Dividend received from mutual funds this month,21116,Others,income,2023-02-02
Meesho shopping haul confirmed,3636,Shopping,expense,2025-06-07
Salary plus incentive credited urgent,154940,Salary,income,2023-11-22
Donation to charity for family,3136,Others,expense,2025-05-22
Salary credited for October 2023 again,82965,Salary,income,2024-09-12
Rent paid for 1BHK flat confirmed,24380,Rent,expense,2025-05-08
Salary credited for June 2025 (cash),108109,Salary,income,2025-10-03
Auto rickshaw fare to mall again,19814,Travel,expense,2025-09-04
YouTube Premium subscription - noted,7522,Entertainment,expense,2023-11-25
zoo entry tickets for family today,1663,Entertainment,expense,2024-07-14
Interest credited on savings account urgent,9242,Others,income,2023-07-13
Purchased a bicycle today,25843,Shopping,expense,2025-08-25
salary credited for february 2024 today,37848,Salary,income,2026-06-01
Monthly wages credited done,117546,Salary,income,2025-08-02
Prize money received from contest today,35547,Others,income,2023-04-10
New outfit purchased from Max Fashion via UPI,13758,Shopping,expense,2023-05-31
Quick snack from Box8 confirmed,2320,Food,expense,2024-08-17
Prize money received from contest (cash),39280,Others,income,2025-10-24
Paying guest accommodation rent completed,37949,Rent,expense,2024-11-26
flight ticket booking to kolkata,19172,Travel,expense,2025-11-03
Hotstar subscription renewal for family,6539,Entertainment,expense,2026-05-30
Shopping at Westside urgent,23854,Shopping,expense,2025-08-07
Internship stipend credited for family,58663,Salary,income,2024-02-16
CCD food delivery today,1085,Food,expense,2024-02-27
amusement park tickets via UPI,6761,Entertainment,expense,2024-09-02
Wow Momo order for family,567,Food,expense,2025-12-22
Contract job payment credited urgent,181979,Salary,income,2026-03-26
Salary credited for April 2023 today,173832,Salary,income,2025-08-17
Ordered burger from Starbucks,2184,Food,expense,2023-01-06
Water park tickets purchased urgent,6372,Entertainment,expense,2023-02-21
Salon and grooming expense - noted,19259,Others,expense,2026-01-16
Courier delivery charges paid via GPay again,4806,Others,expense,2025-12-22
BOUGHT A SMARTWATCH,8087,Shopping,expense,2025-09-28
Weekend movie outing at Carnival Cinemas - paid online,1846,Entertainment,expense,2025-05-16
Purchased perfume online confirmed,19218,Shopping,expense,2026-01-08
Barista food delivery for family,1517,Food,expense,2025-11-28
Bought clothes from Lifestyle,9545,Shopping,expense,2024-04-06
CAB FARE TO LUCKNOW FOR BUSINESS TRIP,11383,Travel,expense,2024-12-19
Monthly grocery haul at local vegetable market completed,573,Food,expense,2024-09-23
Vi mobile recharge again,35485,Others,expense,2025-08-24
New outfit purchased from Van Heusen via PhonePe,36416,Shopping,expense,2025-07-13
Nykaa purchase again,23145,Shopping,expense,2025-08-04
Movie tickets at PVR for family,7632,Entertainment,expense,2024-01-01
Ordered biryani from Zomato via PhonePe,263,Food,expense,2025-01-02
NEW GADGET PURCHASED AT VIJAY SALES done,32345,Shopping,expense,2024-02-25
flat rent for the month of may,38053,Rent,expense,2025-05-09
Vi mobile recharge confirmed,35247,Others,expense,2023-11-25
reimbursement credited by company,39958,Others,income,2023-03-18
train ticket booked to chennai via irctc,5361,Travel,expense,2024-04-07
Bus ticket to Chandigarh,12516,Travel,expense,2023-06-09
FLIGHT TICKET BOOKING TO SURAT (cash),5967,Travel,expense,2023-04-30
refund from Flipkart order - noted,20320,Others,income,2023-01-30
Monthly wages credited confirmed,79216,Salary,income,2023-10-01
Gym membership fee,38259,Others,expense,2024-06-28
Salary credited for May 2023 urgent,161129,Salary,income,2025-01-14
flat rent for the month of april completed,22911,Rent,expense,2026-05-09
Evening snacks at roadside stall,134,Food,expense,2024-04-03
Bought electronics from Vijay Sales - noted,42714,Shopping,expense,2024-11-24
payment received for tuition classes,13364,Others,income,2023-01-14
Bought a laptop bag,43027,Shopping,expense,2026-05-04
Shared cab ride with colleagues urgent,13350,Travel,expense,2023-10-10
Personal loan EMI paid - paid online,17460,Others,expense,2024-06-03
Bought electronics from Reliance Digital urgent,37436,Shopping,expense,2025-07-29
Rent transferred to property owner via UPI confirmed,42366,Rent,expense,2023-12-23
salary credited for November 2025,182284,Salary,income,2023-09-23
Uber ride to hospital via GPay,18767,Travel,expense,2023-03-08
Fruits bought from vendor confirmed,2062,Food,expense,2023-05-05
OVERTIME PAY CREDITED (cash),190036,Salary,income,2025-03-18
evening snacks at office canteen today,2343,Food,expense,2025-11-01
House rent for September confirmed,39871,Rent,expense,2026-02-02
Salary credited for November 2025 via PhonePe,18934,Salary,income,2026-08-14
Shopping at Zara via PhonePe,2590,Shopping,expense,2024-08-25
Rent due cleared for this month done,20594,Rent,expense,2025-06-20
Winter clothes bought from Uniqlo for family,6691,Shopping,expense,2023-12-20
House rent for November for family,38089,Rent,expense,2026-03-13
Salary credited for July 2025 urgent,67372,Salary,income,2023-03-07
Festive sale shopping on Amazon,12402,Shopping,expense,2025-02-22
Ola cab booking to railway station this month,13805,Travel,expense,2025-09-24
online order from myntra via UPI,25596,Shopping,expense,2026-03-07
AUTO RICKSHAW FARE TO FRIEND'S HOUSE via UPI,14104,Travel,expense,2024-10-13
Monthly pay credited to account urgent,14099,Salary,income,2026-01-05
Winter clothes bought from Zara urgent,17304,Shopping,expense,2024-02-23
Auto rickshaw fare to hospital this month,7250,Travel,expense,2025-02-28
Salary credited for September 2026 done,126608,Salary,income,2025-12-02
train ticket booked to kolkata via irctc,5216,Travel,expense,2023-11-06
Home loan EMI paid urgent,4581,Others,expense,2026-06-16
Auto rickshaw fare to college urgent,16667,Travel,expense,2023-10-29
Rent paid for April for family,15443,Rent,expense,2024-07-12
Monthly grocery haul at DMart,1133,Food,expense,2023-06-17
lunch with friends at friend's place,1557,Food,expense,2025-03-22
KFC lunch order,2424,Food,expense,2026-05-06
house rent for february via PhonePe done,18907,Rent,expense,2025-02-24
annual increment salary credited,168638,Salary,income,2025-01-25
PG rent payment - noted,25190,Rent,expense,2025-07-01
cab fare to hyderabad for business trip,10398,Travel,expense,2026-04-06
Weekend movie outing at PVR completed,519,Entertainment,expense,2025-04-23
Bought skincare products,16186,Shopping,expense,2026-04-14
Bought sunglasses confirmed,44907,Shopping,expense,2026-05-24
House maintenance charges paid,14305,Others,expense,2025-10-19
House maintenance charges paid (cash),245,Others,expense,2024-09-26
New watch purchased again,41325,Shopping,expense,2025-10-14
Sunday brunch buffet,1652,Food,expense,2024-07-23
Shop rent payment for the month again,13103,Rent,expense,2024-12-16
monthly grocery haul at Nature's Basket,1067,Food,expense,2025-01-12
new gadget purchased at Apple Store,43344,Shopping,expense,2025-03-25
Family movie night at Cinepolis completed,1011,Entertainment,expense,2026-02-04
temple donation,27638,Others,expense,2025-07-13
Flat rent for the month of February again,7617,Rent,expense,2023-11-11
BARISTA DINNER ORDER,229,Food,expense,2026-03-18
Train ticket booked to Chennai via IRCTC completed,14037,Travel,expense,2023-10-18
Water bill payment this month,6993,Others,expense,2023-08-09
Health insurance premium paid - noted,27697,Others,expense,2026-03-16
movie tickets at local multiplex - noted,7508,Entertainment,expense,2023-05-06
Dinner at rooftop cafe - noted,1538,Food,expense,2026-08-14
Lunch with friends at hotel restaurant - noted,330,Food,expense,2025-11-21
EVENING SNACKS AT HIGHWAY DHABA,1134,Food,expense,2023-11-12
Festive sale shopping on Meesho via UPI,48467,Shopping,expense,2024-11-29
commission received from sale again,27414,Others,income,2024-06-16
Commission received from sale completed,34629,Others,income,2024-11-05
ola cab booking to friend's house via UPI,11950,Travel,expense,2025-04-10
Festive sale shopping on Snapdeal,7476,Shopping,expense,2025-08-24
house rent for December,30563,Rent,expense,2025-08-29
Referral bonus credited for family,23245,Others,income,2026-01-25
Bought electronics from Apple Store confirmed,8343,Shopping,expense,2026-02-12
AUTO RICKSHAW FARE TO AIRPORT,1713,Travel,expense,2023-06-11
Shopping at Lifestyle done,37059,Shopping,expense,2023-02-03
Freelance graphic design payment received,887,Others,income,2023-07-31
Family movie night at PVR via PhonePe,4103,Entertainment,expense,2023-01-13
auto rickshaw fare to college,18806,Travel,expense,2024-09-08
salary credited for March 2026 - paid online,120377,Salary,income,2024-11-09
Salary credited for February 2026 again,59458,Salary,income,2026-04-25
Salary credited for November 2023 confirmed,106781,Salary,income,2024-09-14
CCD dinner order this month,231,Food,expense,2025-05-08
Salary credited for January 2023 today,84419,Salary,income,2026-02-13
Credit card bill payment completed,28646,Others,expense,2023-05-05
weekly groceries from spencer's,856,Food,expense,2023-10-15
House rent for May,25572,Rent,expense,2026-02-07
Rapido bike ride to client meeting today,1120,Travel,expense,2026-02-04
Uber ride to mall urgent,4522,Travel,expense,2026-04-01
Paid for office lunch group order for family,2576,Food,expense,2023-10-11
FLAT RENT FOR THE MONTH OF AUGUST today,35206,Rent,expense,2025-05-15
Furniture bought for new house done,19431,Shopping,expense,2023-03-21
Rent paid for August,16613,Rent,expense,2026-03-30
hotstar subscription renewal,4975,Entertainment,expense,2025-06-16
reimbursement credited by company (cash),12674,Others,income,2026-05-31
Bowling with friends - paid online,9269,Entertainment,expense,2023-08-06
Cake ordered for birthday,781,Food,expense,2025-04-12
LPG gas cylinder booking (cash),21037,Others,expense,2024-12-06
House rent for December for family,38930,Rent,expense,2023-02-01
LATE NIGHT BARISTA ORDER,1972,Food,expense,2024-10-09
Dividend received from mutual funds today,39151,Others,income,2023-12-25
Spotify premium payment via GPay,9321,Entertainment,expense,2023-03-08
Grocery shopping at DMart,1415,Food,expense,2023-08-03
Water park tickets purchased via UPI,8102,Entertainment,expense,2023-01-15
contract job payment credited - paid online,150566,Salary,income,2026-03-09
Weekend movie outing at Cinepolis (cash),2261,Entertainment,expense,2024-03-25
EATSURE FOOD DELIVERY,2940,Food,expense,2026-06-10
freelance project payment received,27812,Others,income,2025-07-13
Grocery shopping at Spencer's - paid online,102,Food,expense,2024-11-10
Lunch with friends at food court,2915,Food,expense,2024-04-23
freelance graphic design payment received completed,31575,Others,income,2025-08-10
cCD dinner order,1246,Food,expense,2025-07-02
SALARY CREDITED FOR APRIL 2024,33255,Salary,income,2025-11-23
Shopping at Van Heusen via GPay,15358,Shopping,expense,2025-04-21
COMPANY PAYROLL DEPOSIT,153428,Salary,income,2023-06-28
Festive sale shopping on Amazon confirmed,6499,Shopping,expense,2025-10-13
Netflix subscription - paid online,5472,Entertainment,expense,2025-07-31
